ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A3D7559,Prospectus,02/01/2024,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_1_Bona_Futura_01_02_2024.pdf,../Hansainvest/DE000A3D7559/VKP_1_Bona_Futura_01_02_2024.pdf,77d4e617a372942d675e70c8874ee62e,1055832
DE000A1H44G8,Prospectus,11/15/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_3ik_Strategiefonds_I_15_11_2023.pdf,../Hansainvest/DE000A1H44G8/VKP_3ik_Strategiefonds_I_15_11_2023.pdf,1f5fa7ca2ea9c4d2907136048995f9ba,1209238
DE000A1H44G8,Annual report,08/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_606_3ik-Strategiefonds_I_Bericht_2023-08-31_Layout_PDF.pdf,../Hansainvest/DE000A1H44G8/JB_606_3ik-Strategiefonds_I_Bericht_2023-08-31_Layout_PDF.pdf,4e8f882c98d0811bbf10a1129d153025,1480693
DE000A1H44G8,Semi annual report,02/28/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6066_3ik-Strategiefonds_I_2023-02-28.pdf,../Hansainvest/DE000A1H44G8/HJB_6066_3ik-Strategiefonds_I_2023-02-28.pdf,fdc3f800799d4598ea2089f89684a614,712193
DE000A1H44L8,Prospectus,11/15/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_3ik_Strategiefonds_III_15_11_2023.pdf,../Hansainvest/DE000A1H44L8/VKP_3ik_Strategiefonds_III_15_11_2023.pdf,d4621036808a53992781103075fb4426,1240462
DE000A1H44L8,Annual report,08/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_6068_3ik-Strategiefonds_III_Bericht_2023-08-31_Layout_PDF.pdf,../Hansainvest/DE000A1H44L8/JB_6068_3ik-Strategiefonds_III_Bericht_2023-08-31_Layout_PDF.pdf,900b8adb7b1d4ae85ec122df24792b4b,1316844
DE000A1H44L8,Semi annual report,02/28/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6068_3ik-Strategiefonds_III_2023-02-28.pdf,../Hansainvest/DE000A1H44L8/HJB_6068_3ik-Strategiefonds_III_2023-02-28.pdf,42057aff5812b58b31a9620bf0ea4343,638208
DE000A3DV7B5,Prospectus,02/19/2024,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_AuM_Experts_Momentum_World_19_02_2024.pdf,../Hansainvest/DE000A3DV7B5/VKP_AuM_Experts_Momentum_World_19_02_2024.pdf,c74ec09f6223dc8eec099d822fb6ada8,1062542
DE000A3DV7B5,Annual report,03/31/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/Jahresbericht_1983_AM_Experts_Momentum_World_Bericht_2023-03-31_Layout_PDF_5.pdf,../Hansainvest/DE000A3DV7B5/Jahresbericht_1983_AM_Experts_Momentum_World_Bericht_2023-03-31_Layout_PDF_5.pdf,ddf6083b6368897bf56e702572bc8e8b,1142653
DE000A3DV7B5,Semi annual report,09/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1983_AM_Experts_Momentum_World_Bericht_2023-09-30_Layout_PDF.pdf,../Hansainvest/DE000A3DV7B5/HJB_1983_AM_Experts_Momentum_World_Bericht_2023-09-30_Layout_PDF.pdf,03ed5ee343303c7431941c12fed69025,898747
